input,expected_output,expected_articles
Warum lohnt sich der Neubau in Deutschland laut dem Text momentan nicht?,"Weil die Kosten unkalkulierbar geworden sind: gestiegene Zinsen, höhere Rohstoffpreise, hohe Personalkosten.",2025-03-31/wirtschaft/article_4.md
Welche Parteien wollen dem Zustrombegrenzungsgesetz zustimmen?,"Das BSW, die AfD und die FDP-Fraktion wollen dem Zustrombegrenzungsgesetz zustimmen.",2025-01-28/inland/article_4.md
Welche Forderungen stellte Russland für die Umsetzung der Teilwaffenruhe im Schwarzen Meer?,Russische Unterhändler stellten weitreichende Forderungen für die Umsetzung der Teilwaffenruhe.,2025-03-31/ausland/article_4.md
Wie viele Kolumbianer wurden in den ersten Abschiebeflügen aus den USA nach Kolumbien zurückgebracht?,Insgesamt 201 Kolumbianer wurden in den ersten Abschiebeflügen aus den USA nach Kolumbien zurückgebracht.,2025-01-28/ausland/article_2.md
Mit welchem Prozentsatz regierte die Ampelkoalition zuletzt?,"Die Ampelkoalition aus SPD, Grünen und FDP regierte zuletzt mit 51,8 Prozent der Stimmen.",2025-04-30/inland/article_3.md
Vor welchen negativen Folgen warnt Tesla die US-Regierung in einem Brief?,"Tesla warnt vor den negativen Folgen amerikanischer Zölle, die zu hohen Kosten führen und die Wettbewerbsposition im Markt schwächen könnten.",2025-03-14/wirtschaft/article_10.md
Warum sieht Litauen russische Züge nach Kaliningrad als potenzielles Sicherheitsrisiko?,"Seit Russlands Angriff auf die Ukraine sind die Züge für viele Litauer ein potenzielles Sicherheitsrisiko, da sie für einen bösen Zweck verwendet werden könnten.",2025-05-31/ausland/article_5.md
Wo hat der 18-Jährige das Repetiergewehr erworben?,In Österreich,2025-03-14/inland/article_12.md
Welche Rolle spielt Vertrauen in den Koalitionsverhandlungen zwischen Union und SPD?,"Vertrauen ist die Grundlage für die Koalitionsverhandlungen, da es nach dem Sondieren besonders wichtig ist, um die Phase der Koalitionsverhandlungen erfolgreich zu gestalten.",2025-02-28/inland/article_8.md
Welche Tariferhöhung hat die Bahn angeboten?,"Die Bahn hat eine Tariferhöhung von vier Prozent in zwei Stufen sowie ein Zusatzgeld für Schichtarbeiter von weiteren 2,6 Prozent angeboten.",2025-01-28/wirtschaft/article_1.md
Um wie viel Prozent ist der Gewinn von Volkswagen im ersten Quartal 2025 gesunken?,Der Gewinn von Volkswagen ist im ersten Quartal 2025 um knapp 41 Prozent gesunken.,2025-04-30/wirtschaft/article_0.md
"Was hat Griechenland unternommen, um Ship-to-Ship-Transfers vor seiner Küste zu verhindern?",Griechenland hat mit einer Marinemission auf sogenannte Ship-to-Ship-Transfers vor seiner Küste reagiert.,2025-04-30/ausland/article_9.md
Wie viele Start-ups wurden im Jahr 2024 in Deutschland gegründet?,Im Jahr 2024 wurden 2766 Start-ups gegründet.,2025-01-31/wirtschaft/article_8.md
Welches Ziel hat Vietnam für das Jahr 2050?,Vietnam will 2050 klimaneutral werden.,2025-04-30/wirtschaft/article_8.md
Warum hat Kanada die geplante Digitalsteuer zurückgezogen?,"Kanada zog die geplante Digitalsteuer zurück, um die Verhandlungen über ein Handelsabkommen mit den USA wieder aufzunehmen.",2025-06-30/wirtschaft/article_7.md
Welche Schule gewann den ersten Platz in der Kategorie 'vorbildliche Schulleitung' beim Deutschen Lehrkräftepreis?,Die Berliner Willy-Brandt Schule.,2025-03-31/inland/article_1.md
Was kritisiert die Präsidentin des Verbandes der kommunalen Arbeitgeber (VKA) bezüglich der Warnstreiks?,"Welge kritisierte die Warnstreiks der vergangenen Tage und glaubt, dass die Menschen angesichts der weltpolitischen Lage größere Probleme als die Tarifverhandlungen im öffentlichen Dienst haben.",2025-03-14/wirtschaft/article_8.md
"Was war das Hauptziel des ersten Treffens der CDU, CSU und SPD?","Bei dem ersten Treffen sollte es vor allem darum gehen, grobe Linien und einen Zeitplan für das weitere Vorgehen abzustecken.",2025-02-28/inland/article_6.md
"Was passiert mit einem Versicherungsvertrag, wenn ein Partner stirbt?","Der Vertrag erlischt, da der Versicherungsfall eingetreten ist, und eine Änderung des Begünstigten oder eine Weiterführung des Vertrags für den überlebenden Partner ist dann nicht mehr möglich.",2025-04-30/wirtschaft/article_5.md
Was kritisiert Clara Bünger von den Linken an den Kontrollen an der deutsch-polnischen Grenze?,"Sie kritisiert, dass schon jetzt Menschen zurückgewiesen würden, obwohl sie eigentlich Asyl beantragen wollten, und dass deren Lage sich nun verschärfen werde.",2025-05-08/inland/article_10.md
Wovor hat US-Verteidigungsminister Hegseth in Singapur gewarnt?,US-Verteidigungsminister Hegseth hat vor einem Militäreinsatz Chinas in Taiwan gewarnt.,2025-05-31/ausland/article_9.md
Was fordert die extreme Rechte laut Volker Weiß bezüglich der Erinnerungskultur?,"Die extreme Rechte fordert einen Perspektivwechsel, bei dem sich die Erinnerung wieder auf die deutschen Verluste und die Auflösung des Reiches konzentrieren soll, und das militärische und politische Geschehen vom Kontext des deutschen Expansions- und Vernichtungskrieges gelöst werden soll.",2025-05-08/inland/article_11.md
Welche Organisation wird im Kontext als Terrororganisation im Nahen Osten bezeichnet?,Die Hamas wird als Terrororganisation im Nahen Osten bezeichnet.,2025-01-20/inland/article_2.md
Warum wurde Najeem freigelassen?,"Najeem wurde freigelassen, weil das römische Berufungsgericht seine Verhaftung als nicht verfahrenskonform angesehen hat und die örtliche Polizei das Justizministerium nicht sofort über die Verhaftung informiert hatte.",2025-01-28/ausland/article_11.md
Welche Partei hat 2009 viele Wahlversprechen nicht umgesetzt und ist 2013 aus dem Bundestag gewählt worden?,Die FDP hat 2009 viele Wahlversprechen nicht umgesetzt und ist 2013 aus dem Bundestag gewählt worden.,2025-03-31/inland/article_3.md
Wann sollen die schärferen Migrationsregeln der neuen Regierung in Kraft treten?,Vom 6. Mai an,2025-04-30/inland/article_0.md
Welche Vorwürfe wurden gegen Pete Hegseth erhoben?,"Vorwürfe wegen angeblichen Alkoholmissbrauchs, rassistischer Äußerungen und angeblicher sexueller Übergriffe.",2025-01-20/ausland/article_8.md
"Warum plant die Lufthansa, das Wachstum auf Flügen nach Nordamerika zu drosseln?","Die Lufthansa plant, das Wachstum auf Flügen nach Nordamerika zu drosseln, um Kapazitäten stabil zu halten und auf die unsichere Nachfrage zu reagieren.",2025-05-06/wirtschaft/article_7.md
Wer ist der neue Bundeskanzler von Deutschland?,Friedrich Merz ist neuer deutscher Bundeskanzler.,2025-05-06/inland/article_15.md
Was befürchten die Anbieter von Sharing-Fahrzeugen bezüglich der neuen Regelung?,"Die Anbieter befürchten, dass mit der neuen Regelung die Branche regulatorisch vom Markt gefegt wird, da ein stationsbasiertes System flächendeckend weder finanzierbar noch praktikabel sei.",2025-06-30/inland/article_3.md
"Was ist laut Matthieß zentral, um Enttäuschungen der Wählerinnen und Wähler zu vermeiden?","Offene Kommunikation und Erwartungsmanagement bei den Wählerinnen und Wählern ist zentral, um die Enttäuschung im Vorhinein einzudämmen.",2025-03-31/inland/article_3.md
Welche gesundheitlichen Probleme hatte Marianne Faithfull im Jahr 2021?,Im April 2021 musste Faithfull drei Wochen lang wegen einer Corona-Infektion im Krankenhaus behandelt werden.,2025-01-31/ausland/article_1.md
Wer wird bei der Amtseinführung von Trump singen?,"Christopher Macchio singt die Nationalhymne, und es treten die Countrysängerin Carrie Underwood und der 82-jährige Lee Greenwood auf.",2025-01-20/ausland/article_12.md
Was äußerte Rubio vorsichtig optimistisch?,"Rubio äußerte sich vorsichtig optimistisch, dass auch Russland der Waffenruhe zustimmen werde.",2025-03-14/ausland/article_12.md
Wie viel Prozent ist der S&P 500 seit Trumps Amtsantritt gefallen?,"Seit dem Amtsantritt Trumps am 20. Januar rauschte der S&P 500 um 7,3 Prozent in die Tiefe.",2025-04-30/wirtschaft/article_10.md
Wie hoch war die Durchschnittstemperatur in Deutschland im Juni 2025?,"Die Durchschnittstemperatur lag bei 18,5 Grad Celsius.",2025-06-30/inland/article_8.md
Was führte zur Anordnung des Einsatzes in Dschenin durch Benjamin Netanjahu?,"Der israelische Ministerpräsident Benjamin Netanjahu hatte den Einsatz in Dschenin angeordnet, nachdem zuvor Bomben in drei Bussen nahe Tel Aviv explodiert waren.",2025-02-23/ausland/article_9.md
Wie viele Lastwagenladungen mit Hilfsgütern kamen am ersten Tag der Waffenruhe in das Palästinensergebiet?,Am ersten Tag der Waffenruhe kamen mehr als 200 Lasterladungen mit Hilfsgütern in das Palästinensergebiet.,2025-01-20/ausland/article_10.md
Was verlangt Putin von der Ukraine während einer Waffenruhe?,"Putin verlangte, dass die Ukraine die Waffenruhe nicht zur Neuformierung ihrer Truppen nutzt, keine weiteren Soldaten mobilisiert und keine zusätzlichen Waffen erhält.",2025-03-14/ausland/article_2.md
"Was wurde unternommen, um den versunkenen Panzer zu bergen?","Helfer legten das sumpfige Areal an der Stelle trocken, indem sie tagelang Wasser und Schlamm abpumpten, nachdem der sumpfartige Boden um den Bergungsort mit aufgeschüttetem Kies und Sand stabilisiert worden war.",2025-03-31/ausland/article_2.md
Wie profitiert die Cargo-Sparte der Lufthansa Gruppe von den Zoll-Konflikten mit den USA?,"Die Nachfrage nach Frachttransporten in die Vereinigten Staaten wächst, insbesondere Firmen aus den Bereichen Auto- und Pharma-Industrie bauen in Nordamerika Lager mit Vorräten auf, um etwaigen Zöllen zu entgehen.",2025-05-06/wirtschaft/article_7.md
Was war der Auslöser für das Blutbad auf der Harzstraße?,"Eine Trennung zwischen einem beteiligten Paar, bei der eine 20-jährige Frau sich von ihrem gleichaltrigen Mann trennen wollte, war der Auslöser.",2025-06-30/inland/article_9.md
"Was hat Marine Le Pen angekündigt, nachdem das Urteil gefällt wurde?","Marine Le Pen hat angekündigt, in Berufung zu gehen und sich am Abend in einem Fernsehinterview zu äußern.",2025-03-31/ausland/article_17.md
Wie viele Wölfe wurden im Monitoringjahr 2023/2024 in Deutschland nachgewiesen?,Rund 1.600 Wölfe.,2025-05-08/ausland/article_20.md
Wie reagierte die SPD auf Merz' Äußerungen beim Wahlkampfabschluss der Union in München?,"SPD-Generalsekretär Matthias Miersch reagierte, dass so niemand spreche, der Kanzler werden will.",2025-02-28/inland/article_0.md
Wie viel investiert der norwegische Staatsfonds in RWE-Windparks?,"Der norwegische Staatsfonds investiert 1,4 Milliarden Euro in zwei Offshore-Windparks von RWE.",2025-03-31/wirtschaft/article_3.md
Wer hat Informationen über einen US-Vorschlag für ein mögliches neues Atomabkommen?,Dem Iran liegen nach eigenen Angaben Informationen über einen US-Vorschlag für ein mögliches neues Atomabkommen vor.,2025-05-31/ausland/article_0.md
"Was plant die israelische Regierung, um die Hamas zur Freilassung der Geiseln zu bewegen?","Die israelische Regierung plant, das Gebiet durch die Armee einzunehmen und dauerhaft zu beaufsichtigen sowie die palästinensische Bevölkerung in den Süden des Gazastreifens umzusiedeln.",2025-05-08/ausland/article_13.md
Welche Bedenken gibt es in Bezug auf die Lebensmittelstandards in der Vereinbarung zwischen den USA und Großbritannien?,"Berichten zufolge sollten US-Lebensmittelstandards nicht anerkannt werden. Chlorhühnchen und hormonbehandeltes Rindfleisch werde es in britischen Supermärkten nicht geben, und die britischen Lebensmittelstandards würden nicht gesenkt werden.",2025-05-08/ausland/article_11.md
Wie viel Prozent erreichten die Grünen bei der Wahl im Vergleich zu 2021?,"Die Grünen kommen auf 11,7 Prozent, weniger als 2021, als sie noch 14,7 Prozent erreichten.",2025-02-23/inland/article_1.md
Warum verschärft die US-Regierung die Überprüfung von Visa-Anträgen für Harvard?,"Die US-Regierung verschärft die Überprüfung, um festzustellen, ob Visumsantragsteller durch Antisemitismus aufgefallen seien.",2025-05-31/ausland/article_4.md
Was wünschte der ukrainische Präsident Wolodymyr Selenskyj dem neuen Papst Leo XIV.?,"Er wünschte Leo XIV. Weisheit, Inspiration und Kraft und fügte den lateinischen Glückwunsch 'Ad multos annos!' an.",2025-05-08/ausland/article_1.md
Wie stehen die Grünen zu einer Dienstpflicht?,"Die Grünen sprechen sich für einen verpflichtenden 'Freiheitsdienst' aus, der für alle im Alter zwischen 18 und 67 Jahren gelten soll.",2025-03-31/inland/article_2.md
Was zeigt die exklusive Erhebung des ARD-DeutschlandTrends im Auftrag des WDR-Podcast 'CUT'?,"Fast jeder Zweite hat sich mit seiner Familie oder Freunden in der Coronazeit gestritten, zum Beispiel zu unterschiedlichen Haltungen zur Corona-Impfung.",2025-03-14/inland/article_4.md
Wie viele Führungspersonen nehmen am Weltwirtschaftsforum in Davos teil?,Rund 3.000 Führungspersonen aus Politik und Wirtschaft nehmen am Weltwirtschaftsforum in Davos teil.,2025-01-20/wirtschaft/article_2.md
Warum hat OpenAI seine Umstrukturierungspläne verworfen?,"OpenAI hat seine Umstrukturierungspläne verworfen, weil es erheblichen Widerstand gab, unter anderem von Konkurrenten wie Elon Musk und Marc Zuckerberg, die argumentierten, dass OpenAI als gewinnorientiertes Unternehmen von Vorteilen aus der Gemeinnützigkeit in der Startphase profitieren würde.",2025-05-06/wirtschaft/article_5.md
Wie viele Start-ups wurden in Deutschland im Jahr 2024 gegründet?,Im Jahr 2024 wurden 2766 Start-ups gegründet.,2025-01-31/wirtschaft/article_8.md
Was empfiehlt Expertin Stefanie Kühn für die kurzfristig benötigten Mittel?,Die Auszahlung vom Tagesgeldkonto aus zu planen.,2025-03-14/wirtschaft/article_3.md
In welchem Land plant SAP überproportional viele neue Mitarbeiter einzustellen?,In Indien plant SAP überproportional viele neue Mitarbeiter einzustellen.,2025-01-28/wirtschaft/article_2.md
Was kritisierte Gauck in Bezug auf die deutsche Außen- und Sicherheitspolitik?,"Gauck kritisierte den lange zögerlich angelaufenen Aufbau von neuen Verteidigungskapazitäten sowie Grundannahmen der deutschen Außen- und Sicherheitspolitik, die zu lange 'fehlerbehaftet' gewesen seien.",2025-03-14/inland/article_5.md
Welcher Zeitpunkt ist laut EuGH entscheidend für die Beurteilung außergewöhnlicher Umstände bei Stornierungen von Pauschalreisen?,Laut EuGH ist der Zeitpunkt der Rücktrittserklärung des Kunden maßgeblich.,2025-01-28/wirtschaft/article_4.md
Was möchte Putin mit seinen Streitkräften laut dem Text machen?,Putin möchte seine Streitkräfte mit 'modernen' Waffen- und Ausrüstungsmodellen ausstatten.,2025-02-23/ausland/article_12.md
Wie viel Prozent stieg das Finanzierungsvolumen von Hypoport im Jahr 2024?,Das Finanzierungsvolumen stieg 2024 um 27 Prozent.,2025-01-20/wirtschaft/article_3.md
Was hat der Pentagon-Chef über die Bedrohung durch China gesagt?,"Der Pentagon-Chef erklärte, dass die Bedrohung durch China real sei und unmittelbar bevorstehen könnte. Peking bereite konkret den Einsatz militärischer Gewalt vor, um das Machtgleichgewicht im Indopazifik zu verändern.",2025-05-31/ausland/article_9.md
Wie bewertet die AfD das Scheitern des CDU-Chefs im ersten Wahlgang?,Die AfD wertet das Scheitern des CDU-Chefs im ersten Wahlgang als schlechtes Omen für die künftige Bundesregierung und sieht darin ein schwaches Fundament der kleinen Koalition aus Union und SPD.,2025-05-06/inland/article_3.md
Welche Bereiche der Zusammenarbeit werden zwischen der EU und Indien im Rahmen des geplanten Freihandelsabkommens geprüft?,"Die EU und Indien prüfen eine engere Zusammenarbeit im Sicherheits- und Verteidigungsbereich, insbesondere in den Bereichen Cybersicherheit, maritime Sicherheit und Terrorismusbekämpfung.",2025-02-28/ausland/article_9.md|2025-02-28/ausland/article_1.md
Welche Zölle wollen die USA ab dem 1. Februar erheben?,"Die USA wollen Zölle auf Importe aus Mexiko, Kanada und China erheben. Auf Waren aus Kanada und Mexiko soll ein Zoll von 25 Prozent erhoben werden, auf Güter aus China ein Zoll von zehn Prozent.",2025-01-31/wirtschaft/article_7.md
Wie viele Redaktionsstellen sollen bei den SWMH-Zeitungen im Südwesten bis 2027 wegfallen?,"Rund 15 Prozent der Redaktionsstellen, insgesamt bis zu 45 Stellen von rund 300 in den betroffenen Redaktionen.",2025-06-30/wirtschaft/article_0.md
Welches Freihandelsabkommen plant die EU mit Indien?,"Die EU plant ein Freihandelsabkommen mit Indien, das das größte dieser Art auf der Welt wäre.",2025-02-28/ausland/article_9.md|2025-02-28/ausland/article_1.md
Wie viel Geld wird auf Druck der Grünen fest für den Klimaschutz eingeplant?,100 Milliarden Euro,2025-03-14/inland/article_8.md
Was ist Christian Lindner egal bezüglich der Abstimmung?,"Christian Lindner ist es egal, ob die AfD mitstimmt.",2025-01-28/inland/article_9.md
Wer waren die wegweisenden Ökonomen hinter der Idee des Freihandels?,Wegweisend waren dafür Ökonomen wie Adam Smith und David Ricardo.,2025-05-08/wirtschaft/article_3.md
Warum meldet BMW einen Gewinneinbruch für das Jahr 2024?,BMW meldet einen Gewinneinbruch für das Jahr 2024 hauptsächlich aufgrund einer gedämpften Nachfrage in China und Problemen mit vom Zulieferer Continental bezogenen Bremsen.,2025-03-14/wirtschaft/article_9.md
Wie viele Karteikarten umfasst die Zentralkartei der Zentralen Stelle zur Aufklärung nationalsozialistischer Verbrechen?,"1,76 Millionen Karteikarten",2025-05-08/inland/article_2.md
Welche Themen hat Trump in seiner Amtseinführungsrede angesprochen?,"Trump sprach von einem Land im Niedergang, listete auf, was er sofort in Angriff nehmen will, betonte 'America first', Grenzschutz, Abschiebungen und die Rückgängigmachung von Joe Bidens Klimapolitik.",2025-01-20/ausland/article_17.md
Was fordern die Grünen in Bezug auf die AfD?,Die Grünen fordern rasche konkrete Schritte wie die Einberufung der Sonder-Innenministerkonferenz.,2025-06-30/inland/article_5.md
Welche Kryptowährungen bieten die deutschen Sparkassen ihren Kunden an?,Die deutschen Sparkassen bieten ihren Kunden auf Wunsch Zugang zu Kryptowährungen wie Bitcoin und Ether.,2025-06-30/wirtschaft/article_4.md
Wie viele Menschen wurden bei den Protesten an der Columbia University festgenommen?,Mindestens 80 Menschen wurden festgenommen.,2025-05-08/ausland/article_9.md
Warum könnte Marine Le Pen nicht bei der Präsidentschaftswahl 2027 kandidieren?,"Der Verlust ihres passiven Wahlrechts tritt sofort in Kraft und bleibt auch bei einer Berufung wirksam, was eine erneute Kandidatur Le Pens bei der Präsidentschaftswahl 2027 höchstwahrscheinlich verhindert.",2025-03-31/ausland/article_17.md|2025-03-31/ausland/article_3.md|2025-03-31/ausland/article_16.md
Wie viele junge Deutsche sind seit der letzten Bundestagswahl volljährig geworden und dürfen nun erstmals wählen?,"Etwa 2,3 Millionen junge Deutsche sind seit der vergangenen Bundestagswahl volljährig geworden und dürfen nun erstmals den Bundestag wählen.",2025-02-23/inland/article_13.md
Wie viele Drogenbosse hat Mexiko an die Vereinigten Staaten überstellt?,Mexiko hat 29 Drogenbosse an die Vereinigten Staaten überstellt.,2025-02-28/ausland/article_3.md
Warum muss die US-Hilfsorganisation World Central Kitchen ihre Feldküchen in Gaza schließen?,Wegen leerer Lagerhäuser und fehlenden Nachschubs kann die Organisation die Menschen nicht mehr mit Essen versorgen.,2025-05-08/ausland/article_13.md
Welche Parteien sind für Verschärfungen in der Migrationspolitik?,"Union, AfD, FDP und BSW sind für Verschärfungen.",2025-01-31/inland/article_6.md
Woher importiert Northvolt das Kathodenaktivmaterial für seine Batterien?,"An erster Stelle der Länder, aus denen Northvolt importiert, steht China.",2025-02-28/wirtschaft/article_7.md
Was befürchten Beobachter in Bezug auf die Verhandlungen zwischen Israel und der Hamas?,"Beobachter fürchten, dass die jüngsten Auseinandersetzungen weitere Verhandlungen zwischen Israel und der Hamas erschweren könnten.",2025-02-23/ausland/article_7.md
Wie hoch war das Pro-Kopf-Bruttoinlandsprodukt in Vietnam im Jahr 1990?,Das Pro-Kopf-Bruttoinlandsprodukt lag bei 98 Dollar.,2025-04-30/wirtschaft/article_8.md
Auf welche Produkte konzentriert sich das neue Handelsabkommen zwischen der EU und der Ukraine?,Im Mittelpunkt stehen landwirtschaftliche Waren.,2025-06-30/ausland/article_5.md
Welche Botschaften wurden bei den Protesten im Kongo angegriffen?,"Die Botschaften Frankreichs, Ruandas, Belgiens und der Niederlande wurden angegriffen.",2025-01-28/ausland/article_4.md
Wie hat sich die Zahl der Verkehrstoten in Deutschland im Jahr 2024 im Vergleich zu 2023 verändert?,"Im Jahr 2024 sind in Deutschland 2.780 Menschen bei Verkehrsunfällen ums Leben gekommen, 59 weniger als 2023.",2025-02-28/inland/article_4.md
Welche Temperatur zeigt das Thermometer derzeit in Sintra an?,Rund 40 Grad.,2025-06-30/wirtschaft/article_1.md
Welchen Verlust hat Boeing im abgelaufenen Jahr erwirtschaftet?,"Boeing hat im abgelaufenen Jahr einen Verlust von 11,83 Milliarden Dollar erwirtschaftet.",2025-01-28/wirtschaft/article_3.md
"Was schlägt Polens Außenminister Radoslaw Sikorski vor, um mehr Druck auf Russland auszuüben?","Polens Außenminister Radoslaw Sikorski schlägt vor, Russland eine Frist für die Annahme eines Waffenstillstands in der Ukraine zu setzen.",2025-03-31/ausland/article_4.md
Wofür hat sich der Teenager Axel R. schuldig bekannt?,"Axel R. hat sich des Mordes an drei Mädchen, des versuchten Mordes an acht weiteren Kindern und zwei Erwachsenen sowie des Besitzes eines Trainingshandbuchs der Terrororganisation Al-Kaida schuldig bekannt.",2025-01-20/ausland/article_15.md
Welche Warnstufe wurde für den Fluss Arno in Florenz und Pisa erhöht?,Die lokalen Behörden und der Zivilschutz erhöhten die Warnstufe für den Fluss Arno.,2025-03-14/ausland/article_11.md
Was war Müllers Meinung zu den Maßnahmen während der Corona-Zeit?,"Müller fand es immer noch richtig zu sagen, dass man Abstand halten, Maske tragen und das Impfangebot schnell annehmen sollte, um andere zu schützen.",2025-03-14/inland/article_4.md
"Warum sind die Treibhausgasemissionen um 2,3 Prozent zurückgegangen?","Wesentlicher Grund für den leichten Rückgang sei das milde Wetter gewesen, wodurch weniger geheizt worden sei.",2025-03-14/inland/article_13.md
Worüber beschwert sich die IG Metall im Zusammenhang mit Tesla?,"Die IG Metall wirft der Geschäftsführung des Tesla-Werks in Brandenburg vor, die Belegschaft einzuschüchtern, indem sie die Anerkennung von Krankschreibungen anzweifelt und Lohn einbehält.",2025-03-14/wirtschaft/article_6.md
Was ist die Hauptforderung der Aktionäre gegen EY im Zusammenhang mit dem Wirecard-Skandal?,"Die Hauptforderung der Aktionäre gegen EY im Zusammenhang mit dem Wirecard-Skandal sind Schadenersatzansprüche von bis zu 8,5 Milliarden Euro.",2025-02-28/wirtschaft/article_3.md
Wie viele Erstanträge auf Asyl gab es 2024 in Deutschland?,Die Zahl der Asylanträge ging 2024 um rund 30 Prozent auf 229.751 Erstanträge zurück.,2025-01-31/inland/article_6.md
Welche Länder unterstützen die deutschen Bemühungen um einen dauerhaften Frieden im Ukraine-Krieg?,"Frankreich, Großbritannien, Polen und die anderen europäischen Partner.",2025-05-08/inland/article_6.md
"Was sagt Christian Lindner über seine politische Zukunft, wenn die FDP aus dem Bundestag ausscheidet?","Wenn die FDP aus dem Bundestag ausscheide, sei es völlig klar, dass er dann auch aus der Politik ausscheide.",2025-02-23/inland/article_4.md
Was zeigt die interaktive Karte zur Bundestagswahl 2025?,"Die interaktive Karte zeigt detaillierte Ergebnisse der Bundestagswahl 2025, einschließlich der Hochburgen der Parteien, wo sie die meisten Stimmen geholt haben und in welchen Wahlkreisen und Regionen sie besonders erfolgreich waren oder hohe Verluste verzeichneten.",2025-02-23/inland/article_6.md
Wie viele Flugfälle hatten die Schlichter im Jahr 2024 zu bearbeiten?,Im Jahr 2024 hatten die Schlichter rund 38.000 Flugfälle zu bearbeiten.,2025-01-31/wirtschaft/article_5.md
Wie viele Passagiere wurden bei dem Flugzeugbrand in Denver verletzt?,Zwölf Passagiere wurden leicht verletzt.,2025-03-14/ausland/article_7.md
Welche Partei drängt auf eine Reform der Schuldenbremse?,Die SPD drängt auf eine Reform der Schuldenbremse.,2025-02-28/inland/article_2.md
Wie bewertet Trump seine ersten 100 Tage im Amt?,Trump sieht das 'goldene Zeitalter' für sein Land gekommen und feiert die ersten 100 Tage als die seiner Ansicht nach erfolgreichsten in der Geschichte der USA.,2025-04-30/ausland/article_13.md
Wer will sich noch heute erneut zur Kanzlerwahl stellen?,CDU-Chef Merz,2025-05-06/inland/article_8.md
Warum wäre die vorläufige Vollstreckung einer Nicht-Wählbarkeitsstrafe für Marine Le Pen schwer zu rechtfertigen?,"Die vorläufige Vollstreckung sei keine eigentliche Strafe, sondern solle weiteren Schaden vermeiden. Marine Le Pen ist nicht mehr Mitglied des Europäischen Parlaments und die Veruntreuungen haben vor einer ganzen Weile aufgehört. Es gibt auch keinen Grund weiterzumachen, denn inzwischen ist genug Geld da und es würde zudem ihre Chancen bei der Präsidentschaftswahl schmälern.",2025-03-31/ausland/article_16.md
Warum lehnt Russland die Stationierung europäischer Soldaten in der Ukraine ab?,"Russland lehnt die Stationierung europäischer Soldaten in der Ukraine ab, da es dies als Eintritt in einen 'direkten bewaffneten Konflikt' mit Russland betrachtet und es für 'absolut inakzeptabel' hält, dass Armeeeinheiten anderer Staaten unter irgendeiner Flagge in der Ukraine stationiert werden.",2025-03-14/ausland/article_2.md
"Wie alt ist der Verdächtige, der in Uppsala festgenommen wurde?",Der Verdächtige ist 16 Jahre alt.,2025-04-30/ausland/article_6.md
Wie viel Geld aus dem schuldenfinanzierten Infrastrukturtopf soll in den Klimaschutz fließen?,100 Milliarden Euro,2025-03-14/inland/article_1.md|2025-03-14/inland/article_2.md|2025-03-14/inland/article_8.md
Warum konnte der Virologe Christian Drosten kein wissenschaftliches Urteil abgeben?,Weil die Quelldaten dem Kreis der Wissenschaftler nicht zugänglich gemacht wurden.,2025-03-14/inland/article_3.md
Was plant Trump bezüglich des Panamakanals laut seiner Rede?,"Trump versprach in seiner Rede, den Panamakanal zurückzuholen.",2025-01-20/ausland/article_17.md
Was fordert ver.di in der Tarifrunde im Öffentlichen Dienst des Bundes und der Kommunen?,"ver.di fordert eine Anhebung der Löhne um acht Prozent, mindestens aber 350 Euro pro Monat, sowie drei zusätzliche freie Tage für die Beschäftigten.",2025-02-28/wirtschaft/article_5.md
Wie viel Geld aus dem schuldenfinanzierten Infrastrukturtopf soll in den Klimaschutz fließen?,100 Milliarden Euro,2025-03-14/inland/article_1.md|2025-03-14/inland/article_2.md|2025-03-14/inland/article_8.md
Warum befürchten viele Marktexperten weitere Abwärtsbewegungen an den Börsen?,Viele Marktexperten bleiben skeptisch und fürchten weitere Abwärtsbewegungen aufgrund der mangelnden Klarheit und der anhaltenden Unsicherheit in Washington.,2025-04-30/wirtschaft/article_10.md
Wie viel Gewinn nach Steuern hat Siemens Energy im abgelaufenen Quartal erzielt?,Siemens Energy erzielte im abgelaufenen Quartal 501 Millionen Euro Gewinn nach Steuern.,2025-05-08/wirtschaft/article_4.md
Welche Position wird Kristi Noem voraussichtlich übernehmen?,"Kristi Noem wird, ihre Bestätigung durch den Senat vorausgesetzt, als Heimatschutzministerin die Vorgesetzte von Homan.",2025-01-20/ausland/article_8.md
Welche Maßnahmen haben indische Fluggesellschaften aufgrund der Spannungen zwischen Indien und Pakistan ergriffen?,"Indische Fluggesellschaften haben den Flugbetrieb im Norden und Westen des Landes teilweise ausgesetzt, darunter Indigo, die 165 Flüge absagte, sowie Air India und Air India Express mit einer ähnlichen Zahl von Annullierungen.",2025-05-08/ausland/article_17.md
Welchen Papstnamen hat der US-Amerikaner Robert Francis Prevost gewählt?,Leo XIV.,2025-05-08/ausland/article_8.md|2025-05-08/ausland/article_16.md
Welche Marke hat der DAX heute überschritten?,Der DAX hat heute die Marke von 21.000 Punkten überschritten.,2025-01-20/wirtschaft/article_3.md
